港澳台,#genre#
ChannelNewsAsia,http://tv.redrainl.site:9500/live.m3u8?c=29
NHKWorld,http://tv.redrainl.site:9500/live.m3u8?c=09
TVBS,http://tv.redrainl.site:9500/live.m3u8?c=25
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
北海道新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV53.m3u8
东森财经新闻台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
东森新闻,http://tv.redrainl.site:9500/live.m3u8?c=05
东森新闻台,http://60.251.59.180:8503/http/60.251.39.91:8081/hls/63/805/ch10.m3u8
华视,http://218.32.47.179:8538/http/192.168.1.9:8081/hls/61/803/ch03.m3u8
华视,http://stream.dsichannel.com:80/hls/cts-news.m3u8
华视,http://www.336699.live:1935/blockfour/4gtv-4gtv052.stream/playlist.m3u8
寰宇新闻,http://tv.redrainl.site:9500/live.m3u8?c=22
寰宇新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
鏡新聞,http://tv.redrainl.site:9500/live.m3u8?c=28
鏡新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8
民视新闻台,http://tv.redrainl.site:9500/live.m3u8?c=01
民视新闻台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
三立INEWS,http://tv.redrainl.site:9500/live.m3u8?c=51
三立财经新闻台,http://tv.redrainl.site:9500/live.m3u8?c=51
三立财经新闻台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
三立新闻,http://tv.redrainl.site:9500/live.m3u8?c=06
三立新闻台,http://60.251.59.180:8506/ch18.m3u8
三立新闻台,http://60.251.59.180:8506/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
台视新闻台,http://tv.redrainl.site:9500/live.m3u8?c=11
台视新闻台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8
壹电视新闻台,http://60.251.59.180:8501/.m3u8
壹电视新闻台,http://60.251.59.180:8501/http/60.251.39.91:8081/hls/66/808/ch24.m3u8
中视新闻,http://tv.redrainl.site:9500/live.m3u8?c=02
中视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
中天新闻,http://tv.redrainl.site:9500/live.m3u8?c=03
中天新闻台,http://tv.redrainl.site:9500/live.m3u8?c=03
中天新闻台,https://raw.github.com/SSM0415/apptest/YTlive/CTI.m3u8
